route,mode,performance,accessibility,bestPractices,seo,lcp,cls,tbt,inp,networkRequests
/,mobile,74,94,100,100,2365.7204250000004,0,1172.92595,3655.5740500000006,8
/about,mobile,96,94,96,100,1896.2564000000002,0.043465,200,1903.7564000000002,6
/blog,mobile,97,94,100,100,1602.1791000000003,0,174,1609.68773,7
/careers,mobile,96,93,100,100,914.6612,0,217.6694,1613.3806,4
/causes,mobile,92,94,100,100,1383.5187999999998,0,328.5034499999998,2017.39655,8
/contact,mobile,86,96,100,100,1301.894,0,533.7019999999999,2272.098,6
/donate,mobile,82,94,100,100,1099.1402749999997,0,726.0731499999999,2932.67685,6
/events,mobile,94,94,100,100,1689.4725000000003,0,269,1909.7428800000002,8
/faq,mobile,91,93,100,100,965.7699999999999,0,373.5,2048.58,4
/gallery,mobile,83,94,100,100,1045.428175,0,646.5000000000001,2830.0354500000003,12
/partner,mobile,94,94,100,100,964.9506749999999,0,290.69955000000004,1839.50045,4
/privacy,mobile,99,93,100,100,933.3221000000001,0,94.83895000000007,1390.7110500000001,4
/sitemap,mobile,96,93,100,100,916.3409999999999,0,229.82950000000005,1715.1205,4
/team,mobile,92,94,100,100,1536.5176,0,352.13535,1917.3084775,8
/terms,mobile,90,93,100,100,1003.8724,0,397.9184,1808.7316,4
/testimonials,mobile,97,89,100,100,1371.5654,0,189,1371.5654,7
/volunteer,mobile,100,96,100,100,1370.0728,0,62.821199999999976,1370.0728,6
/,desktop,96,94,100,100,799.82875,0,164,809.2525700000001,14
/about,desktop,97,94,96,100,350.7464,0.049742,108.00240000000002,433.4476000000001,6
/blog,desktop,98,94,100,100,429.11039999999997,0,80.5,645.8040000000001,9
/careers,desktop,100,93,100,100,260.795425,0,0,265.98557750000003,4
/causes,desktop,95,94,100,100,535.7612999999999,0,115.99999999999989,1241.9549,15
/contact,desktop,99,96,100,100,461.336,0,36.416,483.568,60
/donate,desktop,99,94,100,100,384.0382000000001,0,8,535.6191,60
/events,desktop,100,94,100,100,511.0892,0,0,511.0892,10
/faq,desktop,100,93,100,100,295.19499999999994,0,0,314.4475,4
/gallery,desktop,98,94,100,100,1015.07795,0.034561,0,1053.68534,66
/partner,desktop,99,94,100,100,331.958975,0,2.5136750000000063,357.62265,10
/privacy,desktop,100,93,100,100,318.5515,0,19,444.17575,58
/sitemap,desktop,99,93,100,100,311.1231,0,11.5,381.16155000000003,58
/team,desktop,100,94,100,100,438.69960000000003,0,0,438.69960000000003,13
/terms,desktop,100,93,100,100,294.9465,0,0,302.7835375,58
/testimonials,desktop,98,89,100,100,339.71475,0,12.5,1118.8265000000001,60
/volunteer,desktop,100,96,100,100,378.690475,0.001243,0,380.69417250000004,7
